Date,Open,High,Low,Close,Adj Close,Volume
4/5/2022,46624.50781,47106.14063,45544.80859,45555.99219,45555.99219,29640604055
4/6/2022,45544.35547,45544.35547,43193.95313,43206.73828,43206.73828,39393395788
4/7/2022,43207.5,43860.69922,42899.90625,43503.84766,43503.84766,26101973106
4/8/2022,43505.13672,43903.01953,42183.28906,42287.66406,42287.66406,27215995394
4/9/2022,42282.07813,42786.81641,42183.25391,42782.13672,42782.13672,16050772496
4/10/2022,42781.08984,43376.37891,42021.20703,42207.67188,42207.67188,17654475582
4/11/2022,42201.03906,42424.58984,39373.05859,39521.90234,39521.90234,33949912166
4/12/2022,39533.71484,40617.58594,39388.32813,40127.18359,40127.18359,30991500854
4/13/2022,40123.57031,41430.05469,39712.74609,41166.73047,41166.73047,27691105228
4/14/2022,41160.21875,41451.48047,39695.74609,39935.51563,39935.51563,24342001973
4/15/2022,39939.40234,40617.72266,39866.83203,40553.46484,40553.46484,21756855753
4/16/2022,40552.31641,40633.67969,40078.42578,40424.48438,40424.48438,16833150693
4/17/2022,40417.77734,40570.72656,39620.89453,39716.95313,39716.95313,19087633042
4/18/2022,39721.20313,40986.32031,38696.19141,40826.21484,40826.21484,33705182072
4/19/2022,40828.17578,41672.96094,40618.63281,41502.75,41502.75,25303206547
4/20/2022,41501.74609,42126.30078,40961.09766,41374.37891,41374.37891,27819532341
4/21/2022,41371.51563,42893.58203,40063.82813,40527.36328,40527.36328,35372786395
4/22/2022,40525.86328,40777.75781,39315.41797,39740.32031,39740.32031,28011716745
4/23/2022,39738.72266,39935.85938,39352.20313,39486.73047,39486.73047,16138021249
4/24/2022,39478.375,39845.92578,39233.53906,39469.29297,39469.29297,17964398167
4/25/2022,39472.60547,40491.75391,38338.37891,40458.30859,40458.30859,35445730570
4/26/2022,40448.42188,40713.89063,37884.98438,38117.46094,38117.46094,34569088416
4/27/2022,38120.30078,39397.91797,37997.3125,39241.12109,39241.12109,30981015184
4/28/2022,39241.42969,40269.46484,38941.42188,39773.82813,39773.82813,33903704907
4/29/2022,39768.61719,39887.26953,38235.53516,38609.82422,38609.82422,30882994649
4/30/2022,38605.85938,38771.21094,37697.94141,37714.875,37714.875,23895713731
5/1/2022,37713.26563,38627.85938,37585.78906,38469.09375,38469.09375,27002760110
5/2/2022,38472.1875,39074.97266,38156.5625,38529.32813,38529.32813,32922642426
5/3/2022,38528.10938,38629.99609,37585.62109,37750.45313,37750.45313,27326943244
5/4/2022,37748.01172,39902.94922,37732.05859,39698.37109,39698.37109,36754404490
5/5/2022,39695.74609,39789.28125,35856.51563,36575.14063,36575.14063,43106256317
